full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
liuup/claude-code-analysis,971,971,966,6,6,7,https://github.com/liuup/claude-code-analysis
huangserva/claude-code-cli,518,518,1239,0,0,3,https://github.com/huangserva/claude-code-cli
leaked-claude-code/leaked-claude-code,815,815,1004,1,1,2,https://github.com/leaked-claude-code/leaked-claude-code
qwibitai/nanoclaw,26612,26612,10858,9,9,22,https://github.com/qwibitai/nanoclaw
1rgs/claude-code-proxy,3375,3375,446,1,1,0,https://github.com/1rgs/claude-code-proxy
sickn33/antigravity-awesome-skills,30962,30962,5169,33,33,1,https://github.com/sickn33/antigravity-awesome-skills
lintsinghua/claude-code-book,2139,2139,536,12,12,0,https://github.com/lintsinghua/claude-code-book
777genius/claude-code-source-code,880,880,1126,3,3,-1,https://github.com/777genius/claude-code-source-code
disler/claude-code-hooks-mastery,3475,3475,593,0,0,0,https://github.com/disler/claude-code-hooks-mastery
anthropics/skills,111279,111279,12597,79,79,10,https://github.com/anthropics/skills
zebbern/claude-code-guide,3858,3858,364,2,2,0,https://github.com/zebbern/claude-code-guide
Maciek-roboblog/Claude-Code-Usage-Monitor,7371,7371,364,2,2,0,https://github.com/Maciek-roboblog/Claude-Code-Usage-Monitor
kodu-ai/claude-coder,5281,5281,198,0,0,0,https://github.com/kodu-ai/claude-coder
Yuyz0112/claude-code-reverse,2337,2337,400,1,1,0,https://github.com/Yuyz0112/claude-code-reverse
zstmfhy/Claude-code,187,187,283,0,0,0,https://github.com/zstmfhy/Claude-code
fuergaosi233/claude-code-proxy,2343,2343,329,1,1,0,https://github.com/fuergaosi233/claude-code-proxy
lorryjovens-hub/claude-code-rust,1125,1125,448,5,5,1,https://github.com/lorryjovens-hub/claude-code-rust
RichardAtCT/claude-code-telegram,2360,2360,319,2,2,0,https://github.com/RichardAtCT/claude-code-telegram
FlorianBruniaux/claude-code-ultimate-guide,2962,2962,422,8,8,0,https://github.com/FlorianBruniaux/claude-code-ultimate-guide
anthropics/claude-code-security-review,4133,4133,362,1,1,0,https://github.com/anthropics/claude-code-security-review
Cranot/claude-code-guide,2573,2573,285,1,1,0,https://github.com/Cranot/claude-code-guide
AprilNEA/claude-code-source,357,357,607,0,0,0,https://github.com/AprilNEA/claude-code-source
anthropics/claude-code-base-action,784,784,598,0,0,0,https://github.com/anthropics/claude-code-base-action
Kuberwastaken/claurst,8401,8401,7596,25,25,6,https://github.com/Kuberwastaken/claurst
ding113/claude-code-hub,2294,2294,261,-1,-1,0,https://github.com/ding113/claude-code-hub
Alishahryar1/free-claude-code,1681,1681,293,14,14,3,https://github.com/Alishahryar1/free-claude-code
Windy3f3f3f3f/how-claude-code-works,1509,1509,454,7,7,3,https://github.com/Windy3f3f3f3f/how-claude-code-works
eyaltoledano/claude-task-master,26416,26416,2474,3,3,0,https://github.com/eyaltoledano/claude-task-master
fazxes/Claude-code,189,189,197,0,0,0,https://github.com/fazxes/Claude-code
wanshuiyin/Auto-claude-code-research-in-sleep,5602,5602,491,15,15,6,https://github.com/wanshuiyin/Auto-claude-code-research-in-sleep
router-for-me/CLIProxyAPI,23443,23443,3924,31,31,13,https://github.com/router-for-me/CLIProxyAPI
https-deeplearning-ai/sc-claude-code-files,479,479,648,0,0,0,https://github.com/https-deeplearning-ai/sc-claude-code-files
obra/superpowers,136741,136741,11531,166,166,26,https://github.com/obra/superpowers
edmund-io/edmunds-claude-code,1382,1382,282,0,0,0,https://github.com/edmund-io/edmunds-claude-code
Pimzino/claude-code-spec-workflow,3625,3625,256,4,4,0,https://github.com/Pimzino/claude-code-spec-workflow
guanshan/ClaudeCode,52,52,205,0,0,0,https://github.com/guanshan/ClaudeCode
snarktank/ralph,14467,14467,1477,5,5,1,https://github.com/snarktank/ralph
wshobson/agents,33041,33041,3602,9,9,0,https://github.com/wshobson/agents
bfly123/claude_code_bridge,2095,2095,197,4,4,0,https://github.com/bfly123/claude_code_bridge
luyao618/Claude-Code-Source-Study,945,945,409,9,9,1,https://github.com/luyao618/Claude-Code-Source-Study
repowise-dev/claude-code-prompts,788,788,314,6,6,1,https://github.com/repowise-dev/claude-code-prompts
ghuntley/claude-code-source-code-deobfuscation,964,964,552,0,0,0,https://github.com/ghuntley/claude-code-source-code-deobfuscation
anthropics/claude-plugins-official,16101,16101,1807,15,15,4,https://github.com/anthropics/claude-plugins-official
Yeachan-Heo/oh-my-claudecode,24735,24735,2271,64,64,9,https://github.com/Yeachan-Heo/oh-my-claudecode
andrew-kramer-inno/claude-code-source-build,546,546,492,1,1,0,https://github.com/andrew-kramer-inno/claude-code-source-build
garrytan/gstack,64957,64957,8860,87,87,17,https://github.com/garrytan/gstack
carlvellotti/claude-code-pm-course,1757,1757,272,0,0,0,https://github.com/carlvellotti/claude-code-pm-course
feiskyer/claude-code-settings,1415,1415,210,1,1,0,https://github.com/feiskyer/claude-code-settings
siteboon/claudecodeui,9519,9519,1255,6,6,0,https://github.com/siteboon/claudecodeui
alirezarezvani/claude-skills,9656,9656,1185,17,17,1,https://github.com/alirezarezvani/claude-skills
AICoderTudou/claude-code-tudou,413,413,349,1,1,0,https://github.com/AICoderTudou/claude-code-tudou
sugyan/claude-code-webui,998,998,232,0,0,0,https://github.com/sugyan/claude-code-webui
KimYx0207/Claude-Code-x-OpenClaw-Guide-Zh,2991,2991,565,6,6,1,https://github.com/KimYx0207/Claude-Code-x-OpenClaw-Guide-Zh
rohitg00/awesome-claude-code-toolkit,1104,1104,302,3,3,0,https://github.com/rohitg00/awesome-claude-code-toolkit
JrCx7scC/claude-code-source,262,262,396,6,6,2,https://github.com/JrCx7scC/claude-code-source
Hyper66666/claude-code-sourcemap,198,198,449,0,0,0,https://github.com/Hyper66666/claude-code-sourcemap
darcyegb/ClaudeCodeAgents,647,647,58,1,1,0,https://github.com/darcyegb/ClaudeCodeAgents
centminmod/my-claude-code-setup,2161,2161,216,1,1,0,https://github.com/centminmod/my-claude-code-setup
luongnv89/claude-howto,20794,20794,2479,109,109,12,https://github.com/luongnv89/claude-howto
lst97/claude-code-sub-agents,1518,1518,240,0,0,0,https://github.com/lst97/claude-code-sub-agents
