full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
anthropics/claude-code-security-review,4138,4138,363,0,0,0,https://github.com/anthropics/claude-code-security-review
Cranot/claude-code-guide,2574,2574,285,0,0,0,https://github.com/Cranot/claude-code-guide
AprilNEA/claude-code-source,359,359,608,1,1,1,https://github.com/AprilNEA/claude-code-source
Alishahryar1/free-claude-code,1703,1703,302,3,3,0,https://github.com/Alishahryar1/free-claude-code
anthropics/claude-code-base-action,784,784,598,0,0,0,https://github.com/anthropics/claude-code-base-action
ding113/claude-code-hub,2299,2299,261,0,0,0,https://github.com/ding113/claude-code-hub
Windy3f3f3f3f/how-claude-code-works,1532,1532,457,2,2,0,https://github.com/Windy3f3f3f3f/how-claude-code-works
Kuberwastaken/claurst,8501,8501,7628,18,18,7,https://github.com/Kuberwastaken/claurst
fazxes/Claude-code,192,192,197,1,1,-1,https://github.com/fazxes/Claude-code
wanshuiyin/Auto-claude-code-research-in-sleep,5634,5634,494,5,5,1,https://github.com/wanshuiyin/Auto-claude-code-research-in-sleep
eyaltoledano/claude-task-master,26421,26421,2477,-1,-1,2,https://github.com/eyaltoledano/claude-task-master
snarktank/ralph,14506,14506,1482,8,8,2,https://github.com/snarktank/ralph
router-for-me/CLIProxyAPI,23542,23542,3934,6,6,1,https://github.com/router-for-me/CLIProxyAPI
https-deeplearning-ai/sc-claude-code-files,479,479,649,0,0,0,https://github.com/https-deeplearning-ai/sc-claude-code-files
edmund-io/edmunds-claude-code,1384,1384,282,1,1,0,https://github.com/edmund-io/edmunds-claude-code
obra/superpowers,137356,137356,11596,86,86,11,https://github.com/obra/superpowers
wshobson/agents,33071,33071,3601,7,7,2,https://github.com/wshobson/agents
Pimzino/claude-code-spec-workflow,3624,3624,256,0,0,0,https://github.com/Pimzino/claude-code-spec-workflow
guanshan/ClaudeCode,52,52,205,0,0,0,https://github.com/guanshan/ClaudeCode
repowise-dev/claude-code-prompts,805,805,322,4,4,0,https://github.com/repowise-dev/claude-code-prompts
luyao618/Claude-Code-Source-Study,960,960,415,2,2,0,https://github.com/luyao618/Claude-Code-Source-Study
bfly123/claude_code_bridge,2106,2106,197,1,1,0,https://github.com/bfly123/claude_code_bridge
Yeachan-Heo/oh-my-claudecode,24995,24995,2296,33,33,2,https://github.com/Yeachan-Heo/oh-my-claudecode
garrytan/gstack,65402,65402,8943,49,49,9,https://github.com/garrytan/gstack
anthropics/claude-plugins-official,16142,16142,1816,4,4,0,https://github.com/anthropics/claude-plugins-official
ghuntley/claude-code-source-code-deobfuscation,964,964,552,0,0,0,https://github.com/ghuntley/claude-code-source-code-deobfuscation
andrew-kramer-inno/claude-code-source-build,549,549,490,1,1,-1,https://github.com/andrew-kramer-inno/claude-code-source-build
carlvellotti/claude-code-pm-course,1762,1762,273,4,4,0,https://github.com/carlvellotti/claude-code-pm-course
feiskyer/claude-code-settings,1417,1417,210,1,1,0,https://github.com/feiskyer/claude-code-settings
luongnv89/claude-howto,21259,21259,2523,52,52,6,https://github.com/luongnv89/claude-howto
alirezarezvani/claude-skills,9747,9747,1198,17,17,3,https://github.com/alirezarezvani/claude-skills
AICoderTudou/claude-code-tudou,426,426,355,0,0,0,https://github.com/AICoderTudou/claude-code-tudou
JrCx7scC/claude-code-source,274,274,407,1,1,0,https://github.com/JrCx7scC/claude-code-source
sugyan/claude-code-webui,999,999,232,0,0,0,https://github.com/sugyan/claude-code-webui
KimYx0207/Claude-Code-x-OpenClaw-Guide-Zh,3003,3003,568,1,1,1,https://github.com/KimYx0207/Claude-Code-x-OpenClaw-Guide-Zh
siteboon/claudecodeui,9534,9534,1255,3,3,0,https://github.com/siteboon/claudecodeui
rohitg00/awesome-claude-code-toolkit,1107,1107,307,2,2,1,https://github.com/rohitg00/awesome-claude-code-toolkit
centminmod/my-claude-code-setup,2161,2161,217,0,0,0,https://github.com/centminmod/my-claude-code-setup
Hyper66666/claude-code-sourcemap,199,199,450,0,0,0,https://github.com/Hyper66666/claude-code-sourcemap
darcyegb/ClaudeCodeAgents,647,647,58,0,0,0,https://github.com/darcyegb/ClaudeCodeAgents
lst97/claude-code-sub-agents,1519,1519,240,0,0,0,https://github.com/lst97/claude-code-sub-agents
